QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
17,15,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
18,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
21,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
22,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
25,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
25,12,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
25,13,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
25,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,10,,,,,,,,,,,,,,,,
26,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,13,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
26,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,12,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
29,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,7,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,10,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,13,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
32,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
34,4,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
34,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
34,7,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
34,10,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
34,12,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0
34,13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,15,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
35,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
35,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,10,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
35,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
36,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,15,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,7,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
37,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
38,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
38,10,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
38,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,13,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
38,15,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
39,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
39,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,12,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
39,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
40,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
